sale_id,dealer_id,sale_date,vehicle_model,vehicle_type,customer_id,revenue
96046b56-cb1b-4988-a0ca-7eda12cbdcb8,a9bfdbd7-3abd-4f47-81fd-0ab5c928163a,10/12/2025,Urban Compact,Coupe,CUST485695,75497
3d5cf237-8832-4122-8a9b-f7087ba1dc35,7fc6045d-a601-4537-b66d-dfae3121ac73,1/10/2025,Apex Coupe,EV,CUST748858,55651
71dd02c7-ef73-481e-a87b-5baafa327024,a8ee1bbe-6bf9-444a-b444-adaed3bbaf0b,7/1/2025,Velocity Sedan,Coupe,CUST687751,26970
db823967-7e4b-4a42-b14f-fe654f54f1e2,a8ee1bbe-6bf9-444a-b444-adaed3bbaf0b,9/28/2024,Pulse Hatch,Truck,CUST218401,50826
61966383-af7c-4ee0-a225-4b95a474a6b8,a9bfdbd7-3abd-4f47-81fd-0ab5c928163a,1/24/2025,Velocity Sedan,EV,CUST867406,38847
eefba491-2b7f-4fb3-be92-aecef4f28ff6,432da222-2798-454d-9c33-668fde139327,3/18/2024,Pulse Hatch,EV,CUST771724,92597
dacf7581-eed5-4320-9435-883000a61bbd,432da222-2798-454d-9c33-668fde139327,8/17/2024,Pulse Hatch,EV,CUST505150,86134
185333c3-7603-433b-8699-0f9c409e7629,8e3e5d1d-30b6-4817-ae00-e6fbc781d805,5/11/2025,Pulse Hatch,Hatchback,CUST957190,20074
3b6d2ef2-33ee-4b92-baa8-63bddf11fd85,7fc6045d-a601-4537-b66d-dfae3121ac73,12/10/2025,Pulse Hatch,Truck,CUST543341,18429
4fcfcfb3-1651-4cc2-9373-2b18a0999bcd,7fc6045d-a601-4537-b66d-dfae3121ac73,7/11/2025,Urban Compact,Sedan,CUST418640,82552
aca8db76-c9a0-4c67-97bd-14db045d5d2d,2c7b077c-77e6-4d66-a8ec-6406334ff450,10/30/2024,Apex Coupe,SUV,CUST457595,31999
a0eaa601-b6d0-4ce0-9a9d-c72450a3d7c7,7fc6045d-a601-4537-b66d-dfae3121ac73,1/20/2024,Urban Compact,SUV,CUST535367,24338
e001f768-fe45-47df-bc59-234ea0ceabe3,c76a7c48-afc7-43f9-9cdd-b9e1bdd6ca46,9/13/2025,Terra SUV,Truck,CUST378203,58074
18178dd9-2fac-4c75-b3e4-eb61d72d9a34,7fc6045d-a601-4537-b66d-dfae3121ac73,2/2/2025,Terra SUV,Coupe,CUST517686,32153
54d83aad-1a7e-44dc-8db9-b0496dc71d8c,fb5ae97b-dc89-4cb1-b175-bd6b105864b2,1/3/2025,Terra SUV,SUV,CUST898761,63267
d35e75ba-244e-4002-bd1f-1d3a47d5ea95,82672c5c-a23c-4843-b65d-bcb1edaa5356,6/15/2024,Apex Coupe,Truck,CUST125568,86664
995f9996-8deb-46d5-bd2a-19f441ff0a02,a9bfdbd7-3abd-4f47-81fd-0ab5c928163a,11/21/2025,Velocity Sedan,Hatchback,CUST535796,27215
bb05316b-ae65-4544-8c83-e0ec20c25366,82672c5c-a23c-4843-b65d-bcb1edaa5356,11/5/2025,Summit SUV,EV,CUST986483,76038
38c31756-3bec-447c-8fdf-23d54fc3b8fb,8e3e5d1d-30b6-4817-ae00-e6fbc781d805,8/13/2025,Nova EV,SUV,CUST793146,75922
e3fa58eb-4dc6-415c-a5fb-33507a06aac3,82672c5c-a23c-4843-b65d-bcb1edaa5356,11/15/2025,Nova EV,Truck,CUST320206,27127
